,公司名稱,毛利率2023年度成長率(%),營益率2023年度成長率(%),淨利率2023年度成長率(%)
239,華豐,-0.0467,-0.203,0.434
240,鑫永銓,-0.217,-0.12,0.197
241,六暉-KY,-0.199,-0.433,-0.228
242,裕隆,0.0512,-0.15,2
243,中華,0.243,0.365,1.73
244,三陽工業,0.38,0.788,1.02
245,和泰車,25.94,3.2,2.18
246,台船,0.221,0.245,-0.143
247,長榮鋼,0.319,0.396,0.414
248,裕日車,0.0389,0.0391,-0.518
249,劍麟,0.0676,0.245,0.135
250,為升,0.0633,0.0106,-0.284
251,宇隆,-0.0113,-0.0239,-0.142
252,百達-KY,0.468,0.599,0.86
253,英利-KY,0.306,37.51,0.209
254,艾姆勒,0.31,0.143,-0.0156
255,宏旭-KY,-0.918,-8.81,-4.04
256,汎德永業,0.104,0.2,0.213
257,IKKA-KY,0.104,0.481,0.219
258,巨鎧精密-創,-0.531,-1.23,-1.32
259,鴻華先進-創,0.754,-0.45,-0.42
260,光寶科,-0.0179,-0.0369,0.0297
261,麗正,-0.251,-0.582,-0.507
262,聯電,-0.382,-0.445,-0.301
263,全友,0.152,0.0585,-0.452
264,台達電,0.0581,-0.0118,0.0223
265,金寶,-0.083,0.061,-0.258
266,華通,-0.344,-0.484,-0.479
267,台揚,-0.311,-0.258,-0.274
268,楠梓電,-2.52,-1.66,0.637
269,鴻海,-0.0303,-0.0418,0.0044
270,東訊,-0.197,-2.06,-4.85
271,中環,0.133,0.347,2.62
272,仁寶,0.0504,0.307,0.052
273,國巨,-0.217,-0.294,-0.231
274,廣宇,-0.0319,-0.121,-0.0496
275,華泰,0.314,0.447,0.299
276,台積電,-0.128,-0.178,-0.175
277,精英,-0.0192,0.742,0.158
278,友訊,-0.109,-0.772,4.2
279,旺宏,-0.649,-1.26,-1.19
280,光罩,-0.125,-0.4,-0.48
281,台亞,-0.234,-0.795,-0.148
282,茂矽,-0.895,-1.55,-1.32
283,華邦電,-0.48,-1.1,-1.09
284,智邦,0.166,0.194,0.0924
285,聯強,-0.0137,-0.0551,-0.537
286,海悅,0.176,0.174,0.772
287,錸德,-0.0932,-0.358,-1.03
288,順德,-0.108,-0.163,-0.21
289,佳世達,-0.043,-0.144,-0.639
290,宏碁,-0.132,-0.39,-0.0143
291,鴻準,-0.168,-0.485,-0.0013
292,敬鵬,0.453,2.02,0.537
293,英業達,0.0129,0.119,0.0003
294,華碩,-0.0235,-0.14,0.0842
295,所羅門,-0.106,-0.459,0.162
296,致茂,-0.0528,-0.0727,-0.221
297,藍天,-0.0109,-0.0965,0.286
298,矽統,11.21,0.0273,0.181
299,倫飛,0.328,2.38,0.367
300,昆盈,0.0067,-0.403,0.327
301,燿華,-0.38,-2.26,-1.83
302,金像電,-0.115,-0.149,-0.228
303,菱生,-0.584,-6.87,-1.75
304,大同,0.107,3.19,-0.72
305,震旦行,-0.0437,-0.156,-0.166
306,佳能,0.115,6.23,1.03
307,凱美,-0.286,-0.345,-0.566
308,技嘉,-0.0024,-0.163,-0.275
309,微星,-0.112,-0.176,-0.244
310,瑞昱,-0.254,-0.577,-0.435
311,虹光,-0.473,-6.17,-11.49
312,廣達,0.197,0.396,0.37
313,台光電,0.167,0.18,0.0819
314,群光,-0.0752,-0.0969,0.0197
315,精元,0.0164,0.0282,-0.131
316,威盛,-0.0364,-8.69,5.91
317,云辰,0.315,0.659,0.907
318,正崴,-0.0331,-0.145,-0.0429
319,億光,-0.0736,0.22,0.196
320,研華,0.0019,-0.0322,0.0075
321,友通,-0.112,-0.351,-0.315
322,映泰,-0.496,-85.73,-9.82
323,凌陽,-0.235,-1.86,-3.28
324,毅嘉,0.222,0.325,0.302
325,漢唐,0.121,0.116,0.164
326,輔信,-0.0026,-3.93,-0.775
327,國碩,-1.03,-1.21,-1.25
328,南亞科,-1.21,-2.31,-1.51
329,友達,1.94,0.0838,0.137
330,中華電,0.0176,-0.0101,0.0121
331,環科,-0.183,-0.668,-0.594
332,精技,-0.0799,-0.267,-0.227
333,錩新,0.0933,0.221,-17.19
334,圓剛,-0.0966,-2.22,-0.943
